COUNTY_NAME,PERIOD,DTW_window,DTW_dist_norm,lag_median_days,lag_iqr_days,frac_mobility_leads,trim_days,n_used,p_shuffle_absMedLag,p_phase_absMedLag,z_shuffle_absMedLag,z_phase_absMedLag
Albany County,P28,21,0.04108549118115013,20.0,16.5,0.22166874221668742,0,695,0.0033222591362126247,0.07641196013289037,5.4393771767419015,1.9052438207045632
Big Horn County,P28,21,0.04187250667175508,-6.0,29.0,0.590285110876452,0,695,0.14950166112956811,0.3222591362126246,1.3554019138158562,0.5227142747686905
Campbell County,P28,21,0.04026747799055546,13.0,26.0,0.3207126948775056,0,695,0.0033222591362126247,0.34219269102990035,4.9571708204993215,0.5047811957749607
Carbon County,P28,21,0.03401359793003213,3.0,30.0,0.440567066521265,0,695,0.3122923588039867,0.7740863787375415,0.6310977326792899,-0.8321527815632392
Converse County,P28,21,0.05292440247609598,-4.0,36.25,0.5325581395348837,0,695,0.07308970099667775,0.6511627906976745,1.9994247554098716,-0.4404287408134824
Crook County,P28,21,0.04851219605253184,-7.0,35.0,0.563719862227325,0,695,0.23588039867109634,0.627906976744186,0.9482474428365919,-0.447523901530267
Fremont County,P28,21,0.03972094671402153,-13.0,25.0,0.6870748299319728,0,695,0.0033222591362126247,0.2059800664451827,9.521873783152488,0.9626425676126233
Goshen County,P28,21,0.0563154076971902,-1.0,40.0,0.5108323831242874,0,695,0.9235880398671097,0.946843853820598,-0.9355327800583866,-1.2238445585213609
Hot Springs County,P28,21,0.05540561714322264,-5.0,34.0,0.5670103092783505,0,695,0.15282392026578073,0.6644518272425249,1.3329766593961865,-0.5302041713276108
Johnson County,P28,21,0.05454842165002847,16.0,19.0,0.23397075365579303,0,695,0.0033222591362126247,0.046511627906976744,9.58085950120083,2.226658788586414
Laramie County,P28,21,0.043318822742266776,8.5,28.75,0.32723112128146453,0,695,0.0033222591362126247,0.4418604651162791,4.950652881512544,0.006606622526054481
Lincoln County,P28,21,0.04508568142716671,7.0,40.0,0.44471445929526127,0,695,0.019933554817275746,0.4485049833887043,3.0395832538892416,0.05059832740779175
Natrona County,P28,21,0.04507539723054601,20.0,4.0,0.06415094339622641,0,695,0.0033222591362126247,0.3654485049833887,5.922997230703165,1.0001749489980625
Niobrara County,P28,21,0.05231072782219674,-20.0,9.0,0.8368098159509203,0,695,0.0033222591362126247,0.2757475083056478,11.352558686276591,1.203010481461374
Park County,P28,21,0.058301760570113804,-12.5,34.0,0.631578947368421,0,695,0.0033222591362126247,0.21926910299003322,6.726317894682874,0.8084787811080036
Platte County,P28,21,0.05136519148035903,-11.5,29.0,0.6258426966292134,0,695,0.0033222591362126247,0.2558139534883721,5.99701597143355,0.7059010098074828
Sheridan County,P28,21,0.05617379209605354,7.0,39.0,0.40046296296296297,0,695,0.07641196013289037,0.5083056478405316,1.800587335535432,-0.061122337972830974
Sublette County,P28,21,0.02973669089026355,-11.0,24.0,0.6717892425905598,0,695,0.0033222591362126247,0.292358803986711,5.733535048079763,0.5436275973967325
Sweetwater County,P28,21,0.03379491602800678,17.0,17.0,0.16989737742303307,0,695,0.0033222591362126247,0.13953488372093023,7.770478494950798,1.3156483883821943
Teton County,P28,21,0.04204603047838904,12.0,29.0,0.332955832389581,0,695,0.0033222591362126247,0.24916943521594684,5.362820597810054,0.7456838708533079
Uinta County,P28,21,0.05415215018833637,-6.0,38.0,0.5827814569536424,0,695,0.11960132890365449,0.5647840531561462,1.495218084078284,-0.26260748204667794
Washakie County,P28,21,0.045563826182799104,0.0,30.0,0.4941050375133976,0,695,1.0,1.0,-1.2870235534738999,-1.3341930847782428
Weston County,P28,21,0.054047926003441105,9.0,30.0,0.3785310734463277,0,695,0.0033222591362126247,0.46179401993355484,4.313622961351858,0.09468282066692175
